61,61.0,61.0
48,25.0,48.0
23,23.0,
147,53.0,
15,,
137,,
38,,
93,93.0,
71,71.0,84.0
133,133.0,133.0
79,160.0,79.0
121,121.0,
133,,
47,47.0,
136,,
139,51.0,139.0
144,144.0,
132,38.0,132.0
159,,
159,122.0,
127,,
36,36.0,
125,125.0,
145,,
69,78.0,64.0
104,135.0,
106,106.0,
2,123.0,
158,105.0,158.0
147,147.0,
10,10.0,
128,78.0,
103,103.0,81.0
148,,
79,38.0,40.0
75,100.0,
115,,
94,94.0,26.0
87,,
142,,
88,157.0,69.0
45,,
89,89.0,
29,131.0,
141,,
2,2.0,
136,82.0,
6,129.0,6.0
78,114.0,78.0
108,,
26,,
40,,
141,,
55,,
145,145.0,145.0
121,39.0,
47,55.0,
89,153.0,138.0
52,,
116,116.0,
102,158.0,
86,151.0,
126,135.0,126.0
86,99.0,144.0
153,108.0,153.0
153,153.0,153.0
52,52.0,
25,25.0,25.0
95,,
58,,
66,,
1,1.0,1.0
137,137.0,
73,,
124,124.0,
18,30.0,18.0
56,56.0,
60,,
57,57.0,
97,97.0,146.0
15,15.0,16.0
59,44.0,59.0
6,6.0,6.0
125,125.0,
147,,
73,0.0,116.0
41,,
4,29.0,148.0
69,,
23,,
4,148.0,
141,12.0,141.0
109,33.0,109.0
8,,
39,39.0,39.0
145,145.0,
132,116.0,
104,104.0,
88,,
102,21.0,
68,83.0,68.0
63,63.0,63.0
74,74.0,
139,40.0,139.0
14,8.0,14.0
14,14.0,70.0
139,43.0,139.0
8,,
96,96.0,
14,,
72,72.0,
33,,
46,46.0,46.0
140,140.0,140.0
88,88.0,
119,,
83,142.0,155.0
69,,
100,131.0,100.0
6,114.0,
112,112.0,
70,11.0,
125,125.0,84.0
143,143.0,137.0
33,,
12,,
31,,
157,,
38,,
155,,
89,89.0,23.0
80,80.0,96.0
38,,
113,,
154,,
158,26.0,102.0
61,79.0,61.0
76,,
139,,
12,,
144,,
132,144.0,
21,157.0,
58,,
67,67.0,83.0
25,25.0,25.0
97,97.0,
124,,
50,50.0,24.0
75,117.0,
46,46.0,
129,114.0,129.0
153,,
22,16.0,
65,161.0,15.0
103,103.0,
154,13.0,
127,76.0,
4,4.0,104.0
33,,
137,,
135,,
84,84.0,84.0
143,143.0,116.0
104,,
138,138.0,
153,,
48,105.0,48.0
133,,
144,,
68,,
59,85.0,61.0
107,153.0,107.0
75,31.0,110.0
144,,
130,130.0,
94,130.0,58.0
82,82.0,
26,26.0,
57,,
46,46.0,
84,,
65,,
21,,
55,55.0,136.0
165,,
119,42.0,58.0
77,77.0,77.0
9,148.0,
85,56.0,85.0
100,100.0,100.0
164,,
140,140.0,
95,,
119,119.0,
153,,
100,,
97,,
12,12.0,
121,121.0,
75,63.0,75.0
27,59.0,94.0
102,102.0,99.0
118,,
149,,
135,135.0,35.0
1,,
62,141.0,
95,104.0,
24,,
63,,
126,126.0,
5,,
41,51.0,
10,10.0,
157,157.0,
70,70.0,70.0
22,12.0,
64,,
26,26.0,
64,162.0,
38,115.0,38.0
11,98.0,11.0
101,112.0,74.0
143,48.0,
53,53.0,90.0
91,91.0,
54,,
117,117.0,
36,93.0,
100,92.0,100.0
165,165.0,
3,106.0,
115,,
10,10.0,162.0
87,87.0,
157,157.0,
163,163.0,163.0
115,160.0,
142,142.0,
155,155.0,117.0
2,,
51,51.0,12.0
0,,
40,40.0,40.0
65,,
5,5.0,
113,113.0,113.0
133,133.0,2.0
124,33.0,71.0
116,116.0,
93,152.0,
66,,
62,,
23,,
131,3.0,131.0
161,161.0,105.0
56,56.0,87.0
142,121.0,
112,165.0,
98,98.0,
134,,
146,146.0,
78,71.0,34.0
18,118.0,58.0
11,11.0,
105,105.0,105.0
27,,
131,75.0,47.0
117,117.0,
83,,
150,,
55,55.0,
56,,
152,141.0,
11,32.0,
101,101.0,101.0
21,79.0,
15,132.0,
