34,34.0,34.0
63,3.0,
41,144.0,41.0
30,30.0,58.0
117,59.0,
66,66.0,66.0
103,70.0,
31,,
4,4.0,
13,13.0,101.0
26,75.0,
27,,
118,118.0,
155,,
47,47.0,
78,,
1,1.0,9.0
133,17.0,133.0
69,,
121,,
113,20.0,66.0
21,,
144,,
94,,
16,16.0,35.0
69,69.0,136.0
119,,
0,0.0,
124,97.0,
13,115.0,13.0
40,40.0,40.0
53,92.0,
69,69.0,69.0
87,,
81,,
59,59.0,
99,99.0,134.0
111,111.0,20.0
6,,
26,26.0,26.0
152,152.0,
120,120.0,
111,44.0,
119,119.0,
71,60.0,71.0
117,117.0,80.0
67,138.0,
103,103.0,
22,,
154,133.0,
115,115.0,
48,46.0,
81,,
3,,
109,,
39,39.0,
59,,
105,105.0,105.0
152,,
48,123.0,
135,,
27,,
24,59.0,69.0
131,70.0,
93,52.0,93.0
60,60.0,60.0
49,,
29,,
38,,
54,140.0,
103,,
58,,
85,,
80,118.0,
105,,
24,127.0,
119,,
41,36.0,
119,119.0,
86,,
87,,
29,,
133,,
103,,
77,67.0,77.0
8,,
111,,
34,90.0,34.0
13,,
75,30.0,36.0
46,46.0,
34,73.0,
144,,
72,12.0,134.0
130,,
131,,
93,,
63,21.0,63.0
128,154.0,139.0
64,,
101,,
91,37.0,
132,132.0,132.0
84,84.0,11.0
56,120.0,56.0
44,152.0,153.0
80,70.0,
19,147.0,
123,123.0,
31,24.0,
92,92.0,
80,80.0,
114,117.0,
106,,
38,110.0,
134,134.0,144.0
152,152.0,152.0
110,,
98,,
137,102.0,44.0
119,95.0,147.0
91,,
28,132.0,28.0
64,103.0,64.0
138,,
73,139.0,73.0
46,46.0,
16,20.0,16.0
108,,
126,,
133,133.0,
53,,
74,74.0,74.0
112,112.0,129.0
123,123.0,
54,54.0,
141,,
103,,
131,,
55,87.0,
80,34.0,112.0
84,56.0,
127,143.0,
103,,
138,,
150,150.0,
153,106.0,153.0
51,138.0,
95,95.0,81.0
58,,
3,85.0,
118,118.0,118.0
46,,
152,152.0,
63,63.0,
44,,
109,129.0,
10,,
140,86.0,140.0
145,145.0,145.0
5,5.0,
27,,
32,99.0,
152,,
46,46.0,46.0
37,37.0,
4,4.0,
22,96.0,
36,36.0,36.0
61,61.0,61.0
7,7.0,134.0
38,,
47,,
74,,
55,,
93,93.0,
9,91.0,9.0
66,,
113,,
11,109.0,
95,95.0,111.0
49,49.0,
136,136.0,50.0
115,35.0,89.0
54,54.0,6.0
118,118.0,
116,116.0,103.0
118,118.0,
83,83.0,79.0
97,97.0,25.0
44,,
131,,
69,69.0,
118,118.0,
54,79.0,86.0
88,39.0,88.0
141,141.0,
7,105.0,
9,9.0,
41,,
7,88.0,
59,,
42,,
14,80.0,
64,64.0,
13,13.0,69.0
121,121.0,
45,84.0,29.0
147,,
11,11.0,11.0
40,40.0,141.0
0,0.0,
126,,
10,84.0,
38,38.0,147.0
103,155.0,
0,0.0,
87,82.0,87.0
74,,
141,141.0,141.0
57,57.0,
35,35.0,
15,15.0,113.0
100,,
1,,
85,85.0,
37,,
61,,
134,134.0,
60,60.0,68.0
74,21.0,74.0
18,12.0,
59,59.0,100.0
119,119.0,39.0
109,106.0,109.0
48,,
142,142.0,142.0
9,54.0,
4,130.0,117.0
44,40.0,21.0
18,,
89,,
7,136.0,
125,125.0,
125,,
21,21.0,
82,68.0,
89,73.0,89.0
142,3.0,67.0
4,4.0,
88,56.0,111.0
14,117.0,108.0
1,55.0,66.0
16,16.0,101.0
145,145.0,145.0
10,,
64,64.0,64.0
86,,
116,,
98,64.0,
153,,
155,,
137,137.0,137.0
152,124.0,152.0
134,79.0,134.0
109,133.0,
72,,
66,,
138,35.0,
