167,,
113,,
17,54.0,
55,55.0,64.0
85,172.0,
159,141.0,
97,,
129,129.0,
60,60.0,
136,,
25,25.0,
112,,
103,69.0,131.0
73,73.0,
17,75.0,33.0
116,44.0,
138,138.0,138.0
13,,
136,136.0,
146,,
14,6.0,14.0
135,51.0,135.0
167,167.0,120.0
26,26.0,
83,83.0,
14,14.0,14.0
115,151.0,115.0
108,70.0,
154,,
21,21.0,20.0
22,110.0,
100,115.0,92.0
120,120.0,120.0
7,7.0,7.0
75,,
136,127.0,93.0
5,5.0,
109,109.0,109.0
162,,
71,,
130,130.0,130.0
165,100.0,165.0
90,90.0,
98,157.0,131.0
68,99.0,4.0
76,76.0,
159,3.0,
25,,
68,152.0,
21,21.0,21.0
57,,
69,,
149,83.0,49.0
1,1.0,1.0
126,126.0,
74,74.0,
25,25.0,25.0
148,,
5,84.0,
93,93.0,
71,122.0,74.0
62,,
15,,
94,,
126,,
166,,
13,169.0,
60,60.0,60.0
150,,
132,,
94,81.0,2.0
95,114.0,
165,165.0,94.0
167,,
37,129.0,37.0
116,162.0,
49,161.0,13.0
104,104.0,
12,12.0,
161,88.0,
1,,
143,,
19,19.0,58.0
105,37.0,105.0
124,,
70,,
133,161.0,156.0
85,,
120,,
0,0.0,
174,103.0,
27,27.0,59.0
165,165.0,
50,,
27,,
151,151.0,151.0
109,109.0,109.0
104,,
170,170.0,
173,36.0,
9,9.0,
169,98.0,
127,127.0,127.0
121,121.0,
165,15.0,123.0
174,77.0,
150,,
137,7.0,
168,168.0,
32,,
131,128.0,
172,29.0,172.0
40,40.0,172.0
51,,
128,109.0,
127,127.0,
62,24.0,139.0
73,,
101,164.0,82.0
56,129.0,
54,123.0,54.0
6,,
128,53.0,94.0
167,115.0,129.0
87,68.0,
8,138.0,
106,120.0,34.0
31,,
107,,
171,87.0,171.0
161,161.0,
146,,
139,,
57,,
81,21.0,
74,74.0,74.0
65,130.0,44.0
1,,
4,4.0,
22,,
120,148.0,
68,79.0,68.0
147,147.0,
101,21.0,101.0
12,,
139,,
172,173.0,
20,20.0,20.0
96,,
1,72.0,1.0
171,91.0,
91,,
148,148.0,
115,,
33,,
53,131.0,53.0
119,,
143,,
93,,
122,18.0,
17,62.0,
106,82.0,106.0
91,7.0,
171,171.0,
56,,
143,96.0,70.0
141,141.0,
24,140.0,
132,132.0,88.0
130,130.0,
67,107.0,
34,34.0,
12,12.0,35.0
144,144.0,162.0
107,,
50,50.0,
70,,
70,2.0,44.0
111,111.0,135.0
58,58.0,
36,,
169,136.0,
148,57.0,
70,71.0,
77,77.0,
162,,
69,69.0,
54,,
101,,
7,,
14,86.0,
141,,
12,165.0,109.0
92,,
30,125.0,
159,163.0,106.0
153,153.0,
118,,
66,149.0,
137,137.0,138.0
27,70.0,84.0
168,,
26,,
83,,
91,91.0,
172,172.0,
151,,
163,92.0,163.0
74,74.0,
170,,
125,174.0,
92,160.0,
60,,
96,96.0,96.0
153,163.0,153.0
81,81.0,131.0
137,164.0,2.0
140,117.0,
58,,
13,13.0,13.0
60,60.0,60.0
60,,
27,75.0,91.0
103,,
88,,
81,,
46,69.0,
134,,
164,,
0,61.0,0.0
116,,
123,,
90,47.0,
106,106.0,
18,18.0,18.0
47,,
129,136.0,
104,3.0,
124,124.0,124.0
142,142.0,
116,,
48,,
165,15.0,79.0
63,63.0,63.0
81,81.0,
2,2.0,2.0
157,110.0,
110,56.0,
33,70.0,
6,6.0,6.0
3,,
54,,
82,167.0,82.0
35,,
77,77.0,77.0
166,,
10,,
116,116.0,116.0
97,149.0,
50,,
113,126.0,113.0
96,,
60,,
42,42.0,12.0
89,33.0,
109,86.0,
150,150.0,
130,,
142,142.0,125.0
161,161.0,
27,27.0,
57,57.0,
66,59.0,
